Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the first name with alphabets,NFRM1-25,10037,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 9:54 PM,18/Feb/22 9:54 PM,18/Feb/22 3:17 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0005b:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the Email id filed with missing username,NFRM1-24,10036,Test,Blocked,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 3:49 PM,18/Feb/22 2:44 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,NFRM1-1,,,,,,,,{},,,,0|i0002f:i,,NFRM1 Sprint 1,,,,,,,,To Do
Verify the Email id filed With Underscore in the address field,NFRM1-23,10035,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 9:54 PM,18/Feb/22 9:54 PM,18/Feb/22 3:17 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0004v:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the Email id filed With more than one @,NFRM1-22,10034,Test,Blocked,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 3:49 PM,18/Feb/22 2:43 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,NFRM1-1,,,,,,,,{},,,,0|i0002g:,,NFRM1 Sprint 1,,,,,,,,To Do
Verify the Email id filed With Missing @,NFRM1-21,10033,Test,Blocked,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 3:49 PM,18/Feb/22 2:43 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,NFRM1-1,,,,,,,,{},,,,0|i0002h:,,NFRM1 Sprint 1,,,,,,,,To Do
Verify the field With Email id field contains dot in the address field,NFRM1-20,10032,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 9:21 PM,18/Feb/22 9:54 PM,18/Feb/22 3:17 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i00047:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the password with digits,NFRM1-19,10031,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 9:55 PM,18/Feb/22 9:55 PM,18/Feb/22 3:17 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0003z:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the password with blank,NFRM1-18,10030,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 9:55 PM,18/Feb/22 9:55 PM,18/Feb/22 3:19 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0003r:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the password with alphanumericals,NFRM1-17,10029,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 9:55 PM,18/Feb/22 9:55 PM,18/Feb/22 3:17 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0003j:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the password with special characters,NFRM1-16,10028,Test,Done,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,Done,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 9:20 PM,18/Feb/22 9:55 PM,18/Feb/22 3:17 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,NFRM1-1,,,,,,,{},,,,0|i0003b:,,NFRM1 Sprint 1,,,,,,,,Done
Verify the password with more than 30 characters,NFRM1-15,10027,Test,Blocked,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,,,Semanto saini,620b3034ef2bd5006ae8ba04,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,18/Feb/22 11:18 AM,18/Feb/22 3:49 PM,18/Feb/22 3:45 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,NFRM1-1,,,,,,,,{},,,,0|i0002j:,,NFRM1 Sprint 1,,,,,,,,To Do
"As an admin I want to edit and update in the Coupons  containing Coupon name, Code etc.",NFRM1-2,10014,Story,To Do,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,17/Feb/22 5:58 PM,17/Feb/22 6:00 PM,21/Feb/22 10:00 AM,,,0,,,Semanto saini,620b3034ef2bd5006ae8ba04,403200,403200,,0%,403200,403200,,,,,,,,,,,{},,,,0|i0002v:,,NFRM1 Sprint 1,,,,,,,,To Do
"As an admin I want to edit and update in the affiliate list containing First name, Last name, Email, Telephone, Tracking code etc and to filter the result based on affiliate name and email.",NFRM1-1,10013,Story,In Progress,NFRM1,Uniform1,software,Semanto saini,620b3034ef2bd5006ae8ba04,,Medium,,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,Semanto saini,620b3034ef2bd5006ae8ba04,17/Feb/22 5:45 PM,18/Feb/22 4:59 PM,18/Feb/22 9:56 PM,,,0,"Acceptance criteria:

# First name and last name should be in between 1 and 32 characters.
# Email id should be valid.
# Telephone must be between 3 and 32 characters.",,Semanto saini,620b3034ef2bd5006ae8ba04,403200,403200,,0%,403200,403200,,,,NFRM1-60,,,,,,,{},,,,0|i0002n:,,NFRM1 Sprint 1,,,,,,,,In Progress
